NUMELEVE,FRAN4,CPBIS,CE1BIS,CE2BIS,CM1BIS,CM2BIS,MATH4,ECOLE2,CLASSE2,COURS2,RDBLT2,FRAN3,MATH3,MOIS,ANNEE,FRAT,PREEL,CSPP,CSPM,FILLE,ANCENS2,NBEL2,NBCOURS2,arti,sup,inter,empl,ouvr,autr,cmult,cmultnomb,mfran3,mmath3,msup,mouvr,stdfran3,stdmath3
766,0.504021904,1,0,0,0,0,1.247222453,9,36,1,0,0.035592065,-0.165056588,7,91,0,3,4,5,0,21,26,1,0,0,1,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
767,0.754370247,1,0,0,0,0,-0.716194086,9,36,1,0,0.972953395,-0.869230329,1,92,2,2,7,7,1,21,26,1,0,0,0,0,0,1,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
768,0.050815228,1,0,0,0,0,-0.045231453,9,36,1,0,0.035592065,0.844975771,7,91,2,3,6,8,1,21,26,1,0,0,0,0,1,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
769,,1,0,0,0,0,-0.846601325,9,36,1,0,-1.015944206,-0.797864068,10,91,1,3,6,5,0,21,26,1,0,0,0,0,1,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
770,-1.901629639,1,0,0,0,0,-1.005747376,9,36,1,0,-1.015944206,-1.468813356,2,91,0,4,6,5,1,21,26,1,0,0,0,0,1,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
771,-1.325580754,1,0,0,0,0,0.147485079,9,36,1,0,-0.720806202,-0.2567226,7,91,3,3,7,5,1,21,26,1,0,0,0,0,0,1,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
772,0.248997641,1,0,0,0,0,1.247222453,9,36,1,0,0.414186542,1.277349043,8,91,1,3,2,5,1,21,26,1,1,0,0,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
773,-0.254804726,1,0,0,0,0,-0.716194086,9,36,1,0,-1.129080437,-0.279951456,3,91,2,4,7,7,1,21,26,1,0,0,0,0,0,1,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
774,-0.359367414,1,0,0,0,0,-0.904657492,9,36,1,0,-0.720806202,-0.727930535,2,91,1,3,5,8,0,21,26,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
775,-0.914240336,1,0,0,0,0,-0.414775603,9,36,1,0,0.557570542,-1.089399723,7,91,1,3,5,5,1,21,26,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
776,-1.022478611,1,0,0,0,0,-0.045231453,9,36,1,0,0.586298574,-0.165056588,11,91,2,3,1,8,0,21,26,1,0,0,0,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
777,1.140626124,1,0,0,0,0,1.987014511,9,36,1,0,-0.575186802,1.027351892,6,91,1,3,6,8,0,21,26,1,0,0,0,0,1,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
778,0.961023906,1,0,0,0,0,0.899046517,9,36,1,0,0.414186542,0.116022669,3,91,2,3,7,7,1,21,26,1,0,0,0,0,0,1,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
779,0.754370247,1,0,0,0,0,0.064100833,9,36,1,0,-0.575186802,-0.165056588,8,91,1,3,3,5,1,21,26,1,0,1,0,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
780,-0.04139742,1,0,0,0,0,0.064100833,9,36,1,0,0.236290122,-0.035483065,10,91,1,3,7,7,0,21,26,1,0,0,0,0,0,1,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
781,-1.022478611,1,0,0,0,0,0.064100833,9,36,1,0,0.586298574,-0.165056588,4,91,1,4,5,5,1,21,26,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
783,-0.49123778,1,0,0,0,0,0.147485079,11,23,1,0,-0.720806202,0.018672692,12,91,1,3,5,5,0,11,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
